question_id,question,recall@1,recall@5,recall@10,mrr,latency_seconds,first_hit_rank
4hop2__161602_474028_88460_21063,There exists a country A that forms a boundary between the host of the 2020 AFC U-23 Championship and the country containing the village of A Don. What is the business that began trading stocks in the winter of 2014 in country A?,0,0,0,0.0,0.08483740000000001,
2hop__29893_29898,Which affiliate left the company that owns and operates most of the CBC television stations due to an agreement with CHBC?,1,1,1,1.0,0.05119659999999998,1
4hop1__72247_497223_15840_36014,There is a video game named after the sports association that chooses where the super bowl is held. What was Nintendo's limit on games per developer per year on that game's platform?,0,0,1,0.14285714285714285,0.027005500000000016,7
3hop1__354480_834494_34088,Where do they hold NASCAR races in the city that is in the same county as the Eric Marcus Municipal Airport?,1,1,1,1.0,0.05426439999999999,1
4hop1__567737_141375_458768_33632,"What day is the feast held in the city containing the headquarters of the company, that owns the record label that released Study in Brown?",0,1,1,0.2,0.0835397,5
4hop1__105002_17130_70784_61381,When was the region immediately north of the area where the country that released Atalia is located and the Persian Gulf established?,1,1,1,1.0,0.05577019999999999,1
2hop__129499_85379,When did the region where Poachie Range is located achieve U.S. statehood?,1,1,1,1.0,0.04076979999999997,1
4hop1__342858_131850_33897_81096,Who won the Indy Car Race in the largest populated city of the state where Yuma's Library District is located?,1,1,1,1.0,0.052381699999999976,1
4hop1__33012_53706_795904_580996,What city shares a border with the place where the person who went to the state known for its Mediterranean climate during the gold rush worked?,0,0,0,0.0,0.027512199999999987,
3hop2__132957_132798_40768,"When did the make of Acura Legend, the company that made toyopet Master and Nissan open US assembly plants?",1,1,1,1.0,0.05527850000000001,1
2hop__96137_62765,Who did the cast member of The Woman in the Window play in the Ten Commendments?,0,0,1,0.125,0.022208500000000075,8
2hop__49887_573255,Who is the spouse of the first king chosen to rule over the Israelites?,0,0,0,0.0,0.05525239999999998,
4hop1__89530_624859_355213_203322,"What county shares a border with the other county, that contains the city, where the singer of Hungry Eyes in the movie Dirty Dancing, was born?",1,1,1,1.0,0.04885740000000005,1
2hop__80070_89752,What is the largest state in the region where the Handmaid's Tale takes place?,0,0,1,0.125,0.03784080000000001,8
2hop__59133_512508,What undertaking included the person who discovered that the number of protons in each element's atoms is unique?,0,1,1,0.25,0.04817060000000006,4
4hop1__364476_439408_131976_90181,"What is the deepest part of the ocean, near the state, where the county that holds the city of Winchester is found?",1,1,1,1.0,0.052514200000000066,1
2hop__13731_801817,Where was Mary's betrothed born?,1,1,1,1.0,0.03519749999999999,1
2hop__68158_189357,Where was the first female supreme court justice educated?,0,0,0,0.0,0.017946600000000146,
2hop__13539_13493,"In 2009, what series of wins did the team who won the first match in the 1943 Copa del Generalissimo achieve?",1,1,1,1.0,0.02435419999999988,1
4hop1__444892_32392_823060_610794,In what county is the city that shares a border with the capital of the state where Levi Casey was born?,0,0,0,0.0,0.022728300000000035,
