question_id,question,latency_seconds,gold_count,gold_titles,first_gold_rank,rank1_title,rank1_score,rank1_is_gold,rank2_title,rank2_score,rank2_is_gold,rank3_title,rank3_score,rank3_is_gold,rank4_title,rank4_score,rank4_is_gold,rank5_title,rank5_score,rank5_is_gold,rank6_title,rank6_score,rank6_is_gold,rank7_title,rank7_score,rank7_is_gold,rank8_title,rank8_score,rank8_is_gold,rank9_title,rank9_score,rank9_is_gold,rank10_title,rank10_score,rank10_is_gold
4hop1__131820_59747_211319_557671,Which county shares a border with the county where the most populous city in the state where WEKL operates is located?,0.1037,4,Alpena Power Company || WEKL || List of municipalities in Georgia (U.S. state) || Sno*Drift,,"Mecklenburg County, North Carolina",29.96849,False,"Springfield, Tennessee",29.517977,False,"North Bend, Oregon",26.45667,False,"Port Gibson, Mississippi",26.192032,False,Nevada,25.47698,False,"Oklahoma, Clearfield County, Pennsylvania",25.32305,False,"Hastings, Nebraska",25.08257,False,Detroit,24.549303,False,"New Albin, Iowa",24.310911,False,"St. Petersburg, Florida",24.207247,False
4hop1__152562_5274_458768_33633,When did the explorer reach the city where the headquarters of the only group larger than Vilaiyaadu Mankatha's record label is located?,0.0216,4,"Sony Music || Vilaiyaadu Mankatha || The Right Stuff Records || Santa Monica, California",,Jive Records,21.946663,False,MCA Records,21.43218,False,Biltmore Records,21.251656,False,Nothing Records,20.31894,False,Rama Records,18.13571,False,Cari Lekebusch,17.870024,False,New York City,17.23336,False,Ruth's Chris Steak House,17.217016,False,Let's Put It All Together,17.062296,False,Sony Music,16.863827,False
4hop1__31333_59747_211319_557671,Which county shares a border with the county where the most populous city in the other state that sent Tennessee the most tourists in 2013 is located?,0.0475,4,Alpena Power Company || Tennessee || Sno*Drift || List of municipalities in Georgia (U.S. state),,"Springfield, Tennessee",36.642178,False,"Johnson City, Tennessee",32.76337,False,"Mecklenburg County, North Carolina",32.727737,False,Mississippi,28.87486,False,Detroit,28.086317,False,Houston,27.839632,False,California,27.555906,False,"Port St. Lucie, Florida",27.475264,False,"Arlington, Texas",27.450443,False,"St. Petersburg, Florida",27.255342,False
4hop1__33012_53706_795904_580996,What city shares a border with the place where the person who went to the state known for its Mediterranean climate during the gold rush worked?,0.0455,4,"Geography of the United States || Rio Linda High School || California Gold Rush || History of Sacramento, California",,Mediterranean climate,25.99023,False,Mediterranean climate,25.637575,False,Mediterranean climate,24.088533,False,Southern Europe,21.143038,False,"Black Hill, Victoria",20.85056,False,Latvia,20.824326,False,Melbourne,20.820795,False,"Grand Forks, Yukon",20.72743,False,Climate of Vancouver,20.698719,False,"Atlantic City, Wyoming",20.28669,False
4hop1__344155_378185_282674_759393,What is the seat of the county sharing a border with the county with a town to which KRSU is licensed to broadcast?,0.0254,4,John C. Petersen || Pulaski High School || KRSU (FM) || Jerome Quinn,,KPBD,28.382116,False,Gmina Włodawa,23.089584,False,Gmina Głuchołazy,22.876507,False,Gmina Chojna,22.876507,False,"Springfield, Tennessee",22.7637,False,"Port Gibson, Mississippi",22.703726,False,WFFG-FM,22.351816,False,Gmina Michałowo,22.3195,False,WGCK-FM,21.907795,False,Southampton,21.05775,False
4hop1__429751_32392_823060_610794,What county is the city that shares a border with the state capital of the state where Purrysburg is located?,0.0182,4,"Charleston, South Carolina || Forest Acres, South Carolina || WWNQ || Purrysburg, South Carolina",,"Mill City, Butte County, California",21.148018,False,"Springfield, Tennessee",20.698841,False,"Oklahoma, Clearfield County, Pennsylvania",19.795044,False,Nevada,19.648972,False,"Mecklenburg County, North Carolina",19.619102,False,"Hillsboro, Wisconsin",19.605318,False,"Rocklea, Queensland",19.359886,False,List of capitals in the United States,19.241581,False,"New Albin, Iowa",19.003853,False,"Blaine, Washington",18.959684,False
4hop1__444892_32392_823060_610794,In what county is the city that shares a border with the capital of the state where Levi Casey was born?,0.0396,4,"Forest Acres, South Carolina || WWNQ || Levi Casey (politician) || Charleston, South Carolina",,"Williston, Florida",18.530128,False,Nevada,17.559168,False,"North Bend, Oregon",16.655704,False,List of capitals in the United States,16.39117,False,"East Williston, Florida",15.998073,False,"Mill City, Butte County, California",15.759961,False,"Springfield, Tennessee",15.479026,False,Namibia,15.452536,False,San Diego,15.212761,False,"Randolph County, Illinois",15.182845,False
4hop1__88342_75218_128008_80286,who has had the most hits in the league that includes the team that has played the most games of the type played just before the league MVP is awarded?,0.019,4,New York Yankees || List of Major League Baseball career hits leaders || World Series || Major League Baseball Most Valuable Player Award,,Brandon Crawford,37.521767,False,Miguel Cabrera,35.563713,False,Lin Chih-chieh,34.855293,False,Premier League,34.813778,False,Los Angeles Dodgers,34.1012,False,Super Bowl Most Valuable Player Award,33.02539,False,List of career achievements by Kobe Bryant,32.88441,False,Rugby league in Serbia,32.376785,False,Everton F.C.,32.305954,False,Chicago Cubs,32.158207,False
4hop1__9007_698949_157828_239539,The original language of the film titled and about the city of Tito's final resting place is the co-official language of a country. Where are the headquarters for that country's national radio and TV broadcaster?,0.0222,4,Media in Pristina || Serbian language || Josip Broz Tito || Belgrade (film),,Guyana,32.378834,False,List of territorial entities where English is an official language,30.412283,False,Catalan language,30.079895,False,List of territorial entities where German is an official language,29.233295,False,Cancelled (South Park),29.061861,False,Togo,27.87733,False,In the Land of Don Quixote,26.83544,False,List of territorial entities where French is an official language,26.829773,False,Catalunya Ràdio,26.679539,False,Olympic Games ceremony,26.581001,False
4hop2__161602_426860_88460_20985,what is the largest city the country that is a natural boundary between the country that hosted the tournament and the country That Dam is located?,0.0179,4,Myanmar || 2020 AFC U-23 Championship qualification || Geography of Myanmar || That Dam,,Oklahoma,28.179674,False,Ice hockey at the 2018 Winter Olympics – Men's tournament,23.7958,False,2014 FIFA World Cup,23.719826,False,2017 FIFA U-17 World Cup,23.515501,False,Dubai,23.216656,False,Canada–United States border,23.123016,False,2017 FIFA Confederations Cup,23.120615,False,2016 FIFA Club World Cup,22.882542,False,2017 Women's Hockey Asia Cup,22.631256,False,Jolly Jack's Lost Mine,22.560297,False
