question_id,question,subquery_count,candidate_count,gold_in_candidates,recall@1,recall@5,recall@10,mrr,first_gold_rank,latency_seconds
4hop2__161602_474028_88460_21063,There exists a country A that forms a boundary between the host of the 2020 AFC U-23 Championship and the country containing the village of A Don. What is the business that began trading stocks in the winter of 2014 in country A?,4,100,1,1,1,1,1.0,1,49.6176896
2hop__29893_29898,Which affiliate left the company that owns and operates most of the CBC television stations due to an agreement with CHBC?,2,39,1,1,1,1,1.0,1,29.974374900000008
4hop1__72247_497223_15840_36014,There is a video game named after the sports association that chooses where the super bowl is held. What was Nintendo's limit on games per developer per year on that game's platform?,4,89,1,0,1,1,0.25,4,60.106161900000004
3hop1__354480_834494_34088,Where do they hold NASCAR races in the city that is in the same county as the Eric Marcus Municipal Airport?,3,74,1,1,1,1,1.0,1,28.422735600000003
4hop1__567737_141375_458768_33632,"What day is the feast held in the city containing the headquarters of the company, that owns the record label that released Study in Brown?",4,91,1,1,1,1,1.0,1,57.977599399999995
4hop1__105002_17130_70784_61381,When was the region immediately north of the area where the country that released Atalia is located and the Persian Gulf established?,4,100,1,0,1,1,0.2,5,68.2631273
2hop__129499_85379,When did the region where Poachie Range is located achieve U.S. statehood?,2,50,1,1,1,1,1.0,1,33.1349477
4hop1__342858_131850_33897_81096,Who won the Indy Car Race in the largest populated city of the state where Yuma's Library District is located?,4,98,1,1,1,1,1.0,1,67.07015590000003
4hop1__33012_53706_795904_580996,What city shares a border with the place where the person who went to the state known for its Mediterranean climate during the gold rush worked?,4,99,1,0,0,0,0.0,,73.21359569999998
3hop2__132957_132798_40768,"When did the make of Acura Legend, the company that made toyopet Master and Nissan open US assembly plants?",3,73,1,1,1,1,1.0,1,53.11100690000001
2hop__96137_62765,Who did the cast member of The Woman in the Window play in the Ten Commendments?,2,49,1,1,1,1,1.0,1,41.17096950000001
2hop__49887_573255,Who is the spouse of the first king chosen to rule over the Israelites?,2,50,1,1,1,1,1.0,1,38.639609199999995
4hop1__89530_624859_355213_203322,"What county shares a border with the other county, that contains the city, where the singer of Hungry Eyes in the movie Dirty Dancing, was born?",4,96,1,0,1,1,0.5,2,62.9232528
