question_id,question,subquery_count,candidate_count,gold_in_candidates,recall@1,recall@5,recall@10,mrr,first_gold_rank,latency_seconds
4hop1__131820_59747_211319_557671,Which county shares a border with the county where the most populous city in the state where WEKL operates is located?,4,99,1,1,1,1,1.0,1,17.736012699999996
4hop1__152562_5274_458768_33633,When did the explorer reach the city where the headquarters of the only group larger than Vilaiyaadu Mankatha's record label is located?,4,92,1,0,0,0,0.0,,18.1380719
4hop1__31333_59747_211319_557671,Which county shares a border with the county where the most populous city in the other state that sent Tennessee the most tourists in 2013 is located?,4,98,1,0,0,0,0.0,,20.570031699999994
4hop1__33012_53706_795904_580996,What city shares a border with the place where the person who went to the state known for its Mediterranean climate during the gold rush worked?,4,99,1,0,0,0,0.0,,21.9272409
4hop1__344155_378185_282674_759393,What is the seat of the county sharing a border with the county with a town to which KRSU is licensed to broadcast?,4,99,1,1,1,1,1.0,1,18.754480299999997
4hop1__429751_32392_823060_610794,What county is the city that shares a border with the state capital of the state where Purrysburg is located?,4,88,1,0,0,0,0.0,,20.638074000000003
4hop1__444892_32392_823060_610794,In what county is the city that shares a border with the capital of the state where Levi Casey was born?,4,99,1,0,0,0,0.0,,24.08044720000001
4hop1__88342_75218_128008_80286,who has had the most hits in the league that includes the team that has played the most games of the type played just before the league MVP is awarded?,4,88,1,0,0,0,0.0,,24.6454722
4hop1__9007_698949_157828_239539,The original language of the film titled and about the city of Tito's final resting place is the co-official language of a country. Where are the headquarters for that country's national radio and TV broadcaster?,4,100,1,0,1,1,0.5,2,25.466642199999995
4hop2__161602_426860_88460_20985,what is the largest city the country that is a natural boundary between the country that hosted the tournament and the country That Dam is located?,4,98,1,0,0,0,0.0,,26.5332334
4hop2__161602_426860_88460_63559,When was Burma's name changed to that of the country on the natural boundary between the country that hosted the tournament and the country where That Dam is from?,4,98,1,0,1,1,0.3333333333333333,3,33.7973092
4hop2__161602_474028_88460_21063,There exists a country A that forms a boundary between the host of the 2020 AFC U-23 Championship and the country containing the village of A Don. What is the business that began trading stocks in the winter of 2014 in country A?,4,100,1,1,1,1,1.0,1,35.49143359999999
4hop2__71753_158279_70784_61381,When was the region immediately north of the region where Israel is located and the final destination for the export crops established?,4,99,1,0,0,1,0.1111111111111111,9,36.6798857
4hop2__71753_261673_70784_79935,When was the region that lies to the north of the where Israel is located and the location of Shamal created?,4,98,1,1,1,1,1.0,1,34.10617810000002
4hop3__129682_29339_508306_70744,Who won more national championships between the university that contains Fort Hill and the university of the state where Edwards won the primary besides the state where WSFN is located?,4,99,1,1,1,1,1.0,1,32.51221050000004
4hop3__131820_29339_508306_70744,"Which university has more national championships, university of the state having Fort Hill or university of the state whose primary was won by Edwards besides the state having WEKL?",4,99,1,1,1,1,1.0,1,32.40366419999998
4hop3__310746_88460_30152_20999,There exists a country A that forms a boundary between Thailand and the country containing the Khong District. How were the people that the Ajuran Empire declared independence from by minting coins expelled from country A?,4,99,1,0,1,1,0.5,2,38.24338640000002
4hop3__312119_132409_371500_35031,"Among the top five largest urban areas in the state where Getting Away with Murder's performer was formed, where does Veoh's headquarters city rank?",4,98,1,1,1,1,1.0,1,32.59925320000002
4hop3__668721_132409_371500_35031,Where does the city where Veoh's headquarters is located rank in the top five largest urban areas of the state where The Paramour Sessions' performers were formed?,4,99,1,1,1,1,1.0,1,32.57481839999997
